Datetime,Adj Close,Close,High,Low,Open,Volume,consultado_en
2026-04-21 00:00:00+01:00,1.3536617755889893,1.3536617755889893,1.3538798093795776,1.3536617755889893,1.3538798093795776,0,2026-07-13T12:11:09
2026-04-21 00:05:00+01:00,1.3536123037338257,1.3536123037338257,1.3537386655807495,1.3536123037338257,1.3537386655807495,0,2026-07-13T12:11:09
2026-04-21 00:10:00+01:00,1.3534839153289795,1.3534839153289795,1.353654384613037,1.353434443473816,1.353654384613037,0,2026-07-13T12:11:09
2026-04-21 00:15:00+01:00,1.3533960580825806,1.3533960580825806,1.3534492254257202,1.353385090827942,1.3534492254257202,0,2026-07-13T12:11:09
2026-04-21 00:20:00+01:00,1.353392481803894,1.353392481803894,1.3533997535705566,1.3533539772033691,1.3533539772033691,0,2026-07-13T12:11:09
2026-04-21 00:25:00+01:00,1.3534455299377441,1.3534455299377441,1.3534455299377441,1.3533868789672852,1.3533868789672852,0,2026-07-13T12:11:09
2026-04-21 00:30:00+01:00,1.3532806634902954,1.3532806634902954,1.3533722162246704,1.3532806634902954,1.353333830833435,0,2026-07-13T12:11:09
2026-04-21 00:35:00+01:00,1.3532147407531738,1.3532147407531738,1.3532531261444092,1.3532147407531738,1.3532276153564453,0,2026-07-13T12:11:09
2026-04-21 00:40:00+01:00,1.3533246517181396,1.3533246517181396,1.3533246517181396,1.3532202243804932,1.3532514572143555,0,2026-07-13T12:11:09
2026-04-21 00:45:00+01:00,1.353055477142334,1.353055477142334,1.3532642126083374,1.353055477142334,1.3532495498657227,0,2026-07-13T12:11:09
2026-04-21 00:50:00+01:00,1.3531452417373657,1.3531452417373657,1.3532458543777466,1.3531287908554077,1.3531287908554077,0,2026-07-13T12:11:09
2026-04-21 00:55:00+01:00,1.3530884981155396,1.3530884981155396,1.353108525276184,1.3530609607696533,1.353068232536316,0,2026-07-13T12:11:09
2026-04-21 01:00:00+01:00,1.3527553081512451,1.3527553081512451,1.3531213998794556,1.3527553081512451,1.3531213998794556,0,2026-07-13T12:11:09
2026-04-21 01:05:00+01:00,1.352665662765503,1.352665662765503,1.3528339862823486,1.352665662765503,1.3528046607971191,0,2026-07-13T12:11:09
2026-04-21 01:10:00+01:00,1.3528724908828735,1.3528724908828735,1.3528724908828735,1.3526510000228882,1.3528724908828735,0,2026-07-13T12:11:09
